,filing_date,municipality,amount
1304,2009-12-14,White Oak Boro,110633.69
1305,2009-12-14,Munhall Boro,0.0
1306,2009-12-14,N. Fayette Township,40573.21
1307,2009-12-15,Baldwin Township,109158.77
1308,2009-12-15,Elizabeth Township,1041204.27
1309,2009-12-15,Elizabeth Township,1041204.27
1310,2009-12-15,Elizabeth Township,1041204.27
1311,2009-12-15,Elizabeth Township,1041204.27
1312,2009-12-15,Elizabeth Township,1041204.27
1313,2009-12-15,Elizabeth Township,1041204.27
1314,2009-12-15,Elizabeth Township,1041204.27
1315,2009-12-15,Elizabeth Township,1041204.27
1316,2009-12-15,Elizabeth Township,1041204.27
1317,2009-12-15,Elizabeth Township,1041204.27
1318,2009-12-15,Elizabeth Township,1041204.27
1319,2009-12-15,Elizabeth Township,1041204.27
1320,2009-12-15,Elizabeth Township,1041204.27
1321,2009-12-15,Elizabeth Township,1041204.27
1322,2009-12-15,Elizabeth Township,1041204.27
1323,2009-12-15,Elizabeth Township,1041204.27
1324,2009-12-15,Elizabeth Township,1041204.27
1325,2009-12-15,Elizabeth Township,1041204.27
1326,2009-12-15,Elizabeth Township,1041204.27
1327,2009-12-15,Elizabeth Township,1041204.27
1328,2009-12-15,Elizabeth Township,1041204.27
1329,2009-12-15,Elizabeth Township,1041204.27
1330,2009-12-15,Elizabeth Township,1041204.27
1331,2009-12-15,Elizabeth Township,1041204.27
1332,2009-12-15,Elizabeth Township,1041204.27
1333,2009-12-15,Elizabeth Township,1041204.27
1334,2009-12-15,Baldwin Boro,44684.53
1335,2009-12-15,Whitaker Boro,47284.78
1336,2009-12-16,Bellevue Boro,69596.13
1337,2009-12-16,Wilkins Township,85598.83
1338,2009-12-16,Upper St. Clair Twp.,312631.47
1339,2009-12-17,Penn Hills Township,93444.97
1340,2009-12-18,Fawn Township,127008.17
1341,2009-12-18,Monroeville Boro,80346.95
1342,2009-12-18,Mt. Lebanon Township,389345.3
1343,2009-12-18,Glassport Boro,52454.99
1344,2009-12-21,Coraopolis Boro,0.0
1345,2009-12-21,City of Clairton,38333.88
1346,2009-12-21,Pittsburgh,0.0
1347,2009-12-22,Harrison Township,91256.36
1348,2009-12-22,Penn Hills Township,65531.68
1349,2009-12-22,Munhall Boro,26989.52
1350,2009-12-22,Pittsburgh,100626.23
1351,2009-12-22,Whitehall Boro,94045.75
1352,2009-12-22,Pittsburgh,62543.15
1353,2009-12-23,Scott Township,104574.42
1354,2009-12-23,City of McKeesport,110186.07
1355,2009-12-23,Robinson Township,0.0
1356,2009-12-23,East Deer Township,40298.16
1357,2009-12-23,Crafton Boro,385991.81
1358,2009-12-23,Crafton Boro,176544.25
1359,2009-12-23,Crescent Township,153287.55
1360,2009-12-23,Monroeville Boro,88104.14
1361,2009-12-24,Sewickley Boro,85476.14
1362,2009-12-24,Mt. Lebanon Township,100335.47
1363,2009-12-24,Pittsburgh,155181.77
1364,2009-12-28,Bell Acres Boro,435054.94
1365,2009-12-28,Bell Acres Boro,435054.94
1366,2009-12-28,Pittsburgh,31318.36
1367,2009-12-28,City of Clairton,30457.76
1368,2009-12-28,Penn Hills Township,72708.65
1369,2009-12-28,Ohio Township,793875.61
1370,2009-12-28,Ohio Township,793875.61
1371,2009-12-28,N. Versailles Twp.,149479.65
1372,2009-12-28,Mt. Oliver Boro,95323.41
1373,2009-12-28,City of Duquesne,50400.63
1374,2009-12-29,Whitehall Boro,7978.93
1375,2009-12-29,City of Duquesne,26839.79
1376,2009-12-30,Pittsburgh,49359.75
1377,2009-12-31,Bethel Park Boro,165456.91
1378,2009-12-30,Ross Township,58827.5
1379,2009-12-31,Jefferson Hills Boro,61184.19
1380,2009-01-12,McCandless Township,94850.0
1381,2009-01-12,Brentwood Boro,78128.06
1382,2009-01-12,Fawn Township,77471.45
1383,2009-01-12,Hampton Township,398447.11
1384,2009-01-12,Pittsburgh,71409.25
1385,2009-01-12,Scott Township,208028.23
1386,2009-01-12,Pittsburgh,39467.89
1387,2009-01-12,Crafton Boro,68099.81
1388,2009-01-12,Tarentum Boro,130389.31
1389,2009-01-12,Pittsburgh,27051.67
1390,2009-01-12,City of McKeesport,75550.33
1391,2009-01-12,City of McKeesport,75550.33
1392,2009-01-12,Pittsburgh,68980.81
1393,2009-01-12,Indiana Township,272101.62
1394,2009-01-12,Pittsburgh,69136.18
1395,2009-01-12,Penn Hills Township,31676.06
1396,2009-01-12,Elizabeth Boro,34066.36
1397,2009-01-12,Pittsburgh,62301.03
1398,2009-01-12,Wilkinsburg Boro,87936.72
1399,2009-01-12,Dormont Boro,89024.18
1400,2009-01-12,Upper St. Clair Twp.,168298.6
1401,2009-01-12,Kennedy Township,88916.21
1402,2009-01-12,Wilkinsburg Boro,56089.54
1403,2009-01-12,Wilkinsburg Boro,56089.54
1404,2009-01-12,Plum Boro,105881.71
1405,2009-01-12,McCandless Township,78824.6
1406,2009-01-12,Tarentum Boro,58171.87
1407,2009-01-13,Stowe Township,0.0
1408,2009-01-13,Forward Township,83104.82
1409,2009-01-13,Forward Township,83104.82
1410,2009-01-13,Forward Township,83104.82
1411,2009-01-13,Millvale Boro,37565.62
1412,2009-01-13,Emsworth Boro,108266.64
1413,2009-01-13,Springdale Boro,75257.04
1414,2009-01-13,Springdale Boro,75257.04
1415,2009-01-13,Pittsburgh,28080.16
1416,2009-01-13,Findlay Township,172975.82
1417,2009-01-13,Forest Hills Boro,145262.02
1418,2009-01-13,Turtle Creek Boro,59866.37
1419,2009-01-13,Pittsburgh,74597.28
1420,2009-01-13,Upper St. Clair Twp.,86367.01
1421,2009-01-13,Hampton Township,142712.39
1422,2009-01-13,Pittsburgh,40871.39
1423,2009-01-13,McDonald Boro,89798.47
1424,2009-01-14,Pittsburgh,25846.19
1425,2009-01-14,Wilkinsburg Boro,55275.5
1426,2009-01-14,Moon Township,49260.64
1427,2009-01-14,Harrison Township,62833.53
1428,2009-01-14,Scott Township,64379.59
1429,2009-01-14,N. Versailles Twp.,99596.02
1430,2009-01-14,Bellevue Boro,115900.78
1431,2009-01-14,Penn Hills Township,50292.04
1432,2009-01-14,Ross Township,89494.66
1433,2009-01-14,Jefferson Hills Boro,37773.62
1434,2009-01-14,Pittsburgh,0.0
1435,2009-01-14,N. Versailles Twp.,70307.24
1436,2009-01-14,Bethel Park Boro,111499.32
1437,2009-01-14,Richland Township,143268.64
1438,2009-01-14,Pittsburgh,63154.7
1439,2009-01-14,West Mifflin Boro,47941.93
1440,2009-01-14,Mt. Lebanon Township,397783.41
1441,2009-01-14,S. Fayette Township,66514.79
1442,2009-01-14,Crescent Township,126343.22
1443,2009-01-14,East Pittsburgh Boro,55572.04
1444,2009-01-14,City of Clairton,83396.42
1445,2009-01-14,McCandless Township,187009.86
1446,2009-01-15,Glassport Boro,37457.71
1447,2009-01-15,Sharpsburg Boro,70686.89
1448,2009-01-15,Moon Township,0.0
1449,2009-01-15,Scott Township,128334.82
1450,2009-01-15,City of McKeesport,35278.93
1451,2009-01-15,Munhall Boro,106165.93
1452,2009-01-15,Elizabeth Township,259787.08
1453,2009-01-15,Hampton Township,156176.77
1454,2009-01-15,Upper St. Clair Twp.,15644.73
1455,2009-01-15,Ingram Boro,725740.81
1456,2009-01-15,Ross Township,122138.6
1457,2009-01-15,City of Duquesne,81970.63
1458,2009-01-15,City of McKeesport,35278.93
1459,2009-01-15,West View Boro,77836.3
1460,2009-01-15,Pittsburgh,150870.78
1461,2009-01-15,Mt. Oliver Boro,129321.92
1462,2009-01-15,Reserve Township,107763.58
1463,2009-01-15,Monroeville Boro,100911.43
1464,2009-01-16,Sharpsburg Boro,54858.29
1465,2009-01-16,Munhall Boro,26580.29
1466,2009-01-16,Wilkinsburg Boro,20667.97
1467,2009-01-20,Pittsburgh,63475.24
1468,2009-01-19,Pittsburgh,128976.79
1469,2009-01-19,McCandless Township,139321.08
1470,2009-01-20,N. Braddock Boro,17485.79
1471,2009-01-20,Leet Township,71683.17
1472,2009-01-20,Pittsburgh,38932.4
1473,2009-01-20,Pittsburgh,205848.86
1474,2009-01-21,Monroeville Boro,119018.35
1475,2009-01-20,Plum Boro,145497.99
1476,2009-01-21,Tarentum Boro,27331.99
1477,2009-01-21,Pittsburgh,14242.8
1478,2009-01-21,Pittsburgh,64167.63
1479,2009-01-21,Brentwood Boro,81163.28
1480,2009-01-21,Ohio Township,63174.43
1481,2009-01-21,Bell Acres Boro,150792.68
1482,2009-01-21,Pittsburgh,23851.4
1483,2009-01-21,Shaler Township,81163.28
1484,2009-01-21,Wilkinsburg Boro,28286.72
1485,2009-01-21,Wilkinsburg Boro,61260.83
1486,2009-01-21,Bethel Park Boro,185268.96
1487,2009-01-21,City of Duquesne,50725.96
1488,2009-01-21,Pittsburgh,75408.1
1489,2009-01-21,Millvale Boro,40927.78
1490,2009-01-21,S. Fayette Township,115323.69
1491,2009-01-22,Munhall Boro,64569.8
1492,2009-01-22,Pittsburgh,8104.51
1493,2009-01-22,Pittsburgh,0.0
1494,2009-01-22,Coraopolis Boro,52552.88
1495,2009-01-23,Collier Township,134763.17
1496,2009-01-22,Heidelberg Boro,82346.15
1497,2009-01-22,City of McKeesport,36381.96
1498,2009-01-23,Pittsburgh,63747.27
1499,2009-01-22,Kennedy Township,86434.3
1500,2009-01-23,City of McKeesport,56343.08
1501,2009-01-22,Port Vue Boro,159438.61
1502,2009-01-23,Pittsburgh,44166.1
1503,2009-01-23,Pittsburgh,44166.1
1504,2009-01-22,Pine Township,294274.07
1505,2009-01-23,Pittsburgh,66397.18
1506,2009-01-22,Dormont Boro,119699.43
1507,2009-01-23,Pittsburgh,80531.02
1508,2009-01-23,Verona Boro,45501.02
1509,2009-01-22,Pittsburgh,66585.17
1510,2009-01-22,Penn Hills Township,142589.98
1511,2009-01-22,Swissvale Boro,50794.39
1512,2009-01-23,Pittsburgh,0.0
1513,2009-01-23,Plum Boro,79509.61
1514,2009-01-23,Pitcairn Boro,31565.24
1515,2009-01-23,Churchill Boro,179313.36
1516,2009-01-23,Pittsburgh,208112.67
1517,2009-01-23,Pittsburgh,32106.01
1518,2009-01-23,Jefferson Hills Boro,391655.05
1519,2009-01-23,Pittsburgh,21710.69
1520,2009-01-23,Pittsburgh,193903.0
1521,2009-01-25,Brackenridge Boro,70722.21
1522,2009-01-23,Penn Hills Township,81347.04
1523,2009-01-23,Plum Boro,94061.65
1524,2009-01-26,Pittsburgh,96380.42
1525,2009-01-26,Plum Boro,209705.1
1526,2009-01-26,Kennedy Township,116367.9
1527,2009-01-26,Pittsburgh,94082.53
1528,2009-01-26,Coraopolis Boro,86623.95
1529,2009-01-26,Whitehall Boro,84506.93
1530,2009-01-26,Penn Hills Township,23887.07
1531,2009-01-26,Verona Boro,132900.81
1532,2009-01-26,Leet Township,259503.07
1533,2009-01-26,Pittsburgh,111765.51
1534,2009-01-26,East Deer Township,64848.06
1535,2009-01-27,Baldwin Boro,35761.14
1536,2009-01-27,Pittsburgh,86940.09
1537,2009-01-27,Munhall Boro,24831.92
1538,2009-01-27,Munhall Boro,141197.03
1539,2009-01-27,Pittsburgh,77504.25
1540,2009-01-27,City of Duquesne,51936.35
1541,2009-01-27,Pittsburgh,68383.27
1542,2009-01-27,Pittsburgh,46270.36
1543,2009-01-28,Pittsburgh,56245.79
1544,2009-01-27,Pittsburgh,140771.23
1545,2009-01-27,City of McKeesport,57963.4
1546,2009-01-27,Springdale Boro,99836.08
1547,2009-01-27,Brentwood Boro,69410.95
1548,2009-01-27,Jefferson Hills Boro,93752.22
1549,2009-01-27,Pennsbury Village,75065.37
1550,2009-01-27,Pittsburgh,62739.34
1551,2009-01-29,Pittsburgh,61307.09
1552,2009-01-28,Mt. Lebanon Township,664971.1
1553,2009-01-28,Pittsburgh,40402.07
1554,2009-01-28,Pittsburgh,61383.56
1555,2009-01-28,Mt. Oliver Boro,54869.1
1556,2009-01-28,City of McKeesport,122230.65
1557,2009-01-28,Mt. Lebanon Township,31439.13
1558,2009-01-28,N. Fayette Township,47004.58
1559,2009-01-29,Pittsburgh,52209.04
1560,2009-01-28,Pittsburgh,38167.04
1561,2009-01-29,Pittsburgh,72452.48
1562,2009-01-29,City of Clairton,26692.84
1563,2009-01-29,Penn Hills Township,134563.93
1564,2009-01-29,City of Clairton,60671.92
1565,2009-01-30,Wilmerding Boro,37566.52
1566,2009-01-29,Springdale Boro,0.0
1567,2009-01-29,Pittsburgh,0.0
1568,2009-01-29,Richland Township,295899.91
1569,2009-01-29,Castle Shannon Boro,76921.86
1570,2009-01-29,Pittsburgh,119152.02
1571,2009-01-29,Munhall Boro,64156.08
1572,2009-01-29,Franklin Park Boro,250835.03
1573,2009-01-29,Scott Township,79508.33
1574,2009-01-29,Castle Shannon Boro,71633.82
1575,2009-01-29,Penn Hills Township,71576.94
1576,2009-01-29,East Deer Township,47214.95
1577,2009-01-30,McKees Rocks Boro,60719.11
1578,2009-01-29,Pittsburgh,58572.73
1579,2009-01-29,Pittsburgh,58572.73
1580,2009-01-30,Pittsburgh,12213.06
1581,2009-01-30,Plum Boro,125872.78
1582,2009-01-30,Sewickley Boro,143532.63
1583,2009-01-30,Moon Township,104072.89
1584,2009-01-30,Sharpsburg Boro,82881.47
1585,2009-01-30,Bethel Park Boro,98972.32
1586,2009-01-30,Shaler Township,87245.63
1587,2009-01-30,Monroeville Boro,163706.36
1588,2009-01-30,Pittsburgh,54141.39
1589,2009-01-30,Moon Township,80603.48
1590,2009-01-30,Marshall Township,340125.44
1591,2009-01-30,Monroeville Boro,118534.17
1592,2009-01-30,Carnegie Boro,0.0
1593,2009-01-30,Munhall Boro,86301.52
1594,2009-02-02,Elizabeth Township,105801.6
1595,2009-02-02,Pittsburgh,68216.07
1596,2009-02-03,Ross Township,170695.12
1597,2009-02-03,Bridgeville Boro,80021.06
1598,2009-02-03,Baldwin Boro,46959.79
1599,2009-02-02,Munhall Boro,46294.41
1600,2009-02-03,Pittsburgh,40334.68
1601,2009-02-02,Elizabeth Boro,93768.51
1602,2009-02-02,Penn Hills Township,70189.41
1603,2009-02-02,Millvale Boro,49386.07
1604,2009-02-02,Robinson Township,202719.17
1605,2009-02-02,Etna Boro,81478.5
1606,2009-02-02,West Deer Township,74283.49
1607,2009-02-04,Pittsburgh,18448.01
1608,2009-02-04,Penn Hills Township,94471.21
1609,2009-02-04,Versailles Boro,132244.18
1610,2009-02-03,Swissvale Boro,78553.9
1611,2009-02-03,Pittsburgh,174680.5
1612,2009-02-03,West Deer Township,32682.37
1613,2009-02-03,City of Clairton,18979.83
1614,2009-02-03,Mt. Lebanon Township,114106.09
1615,2009-02-03,Munhall Boro,47434.91
1616,2009-02-03,Shaler Township,148402.68
1617,2009-02-03,Plum Boro,335119.15
1618,2009-02-03,Penn Hills Township,70414.25
1619,2009-02-03,Bethel Park Boro,130714.46
1620,2009-02-03,Pittsburgh,62938.59
1621,2009-02-03,Pittsburgh,61692.52
1622,2009-02-03,West Mifflin Boro,38810.24
1623,2009-02-03,Richland Township,156286.39
1624,2009-02-03,Tarentum Boro,0.0
1625,2009-02-03,Fawn Township,148718.22
1626,2009-02-03,Bell Acres Boro,780531.82
1627,2009-02-04,Pittsburgh,105740.02
1628,2009-02-03,Etna Boro,81478.5
1629,2009-02-03,Etna Boro,81478.5
1630,2009-02-04,Shaler Township,55989.71
1631,2009-02-04,Brentwood Boro,275442.45
1632,2009-02-04,Pittsburgh,47871.03
1633,2009-02-04,Pittsburgh,66378.44
1634,2009-02-04,Monroeville Boro,162207.22
1635,2009-02-04,Moon Township,207801.77
1636,2009-02-04,Crescent Township,93015.38
1637,2009-02-04,Crescent Township,93015.38
1638,2009-02-04,Pittsburgh,52065.32
1639,2009-02-04,Penn Hills Township,65116.19
1640,2009-02-04,Wilkinsburg Boro,0.0
1641,2009-02-04,Whitehall Boro,97893.18
1642,2009-02-04,Port Vue Boro,0.0
1643,2009-02-04,Monroeville Boro,0.0
1644,2009-02-04,City of McKeesport,31701.58
1645,2009-02-04,Pittsburgh,97840.9
1646,2009-02-04,City of McKeesport,75314.07
1647,2009-02-04,Penn Hills Township,89316.44
1648,2009-02-04,West Mifflin Boro,68062.07
1649,2009-02-04,West View Boro,144349.14
1650,2009-02-04,West View Boro,62166.87
1651,2009-02-04,Bethel Park Boro,172578.17
1652,2009-02-04,Moon Township,122126.92
1653,2009-02-04,Wilkinsburg Boro,60458.05
1654,2009-02-04,Jefferson Hills Boro,290287.18
1655,2009-02-04,Wilkinsburg Boro,11297.85
1656,2009-02-04,Harrison Township,88854.78
1657,2009-02-04,Harrison Township,128086.71
1658,2009-02-04,Ross Township,114222.23
1659,2009-02-05,N. Braddock Boro,12079.15
1660,2009-02-05,Pittsburgh,35884.88
1661,2009-02-05,Leet Township,100398.0
1662,2009-02-05,City of McKeesport,0.0
1663,2009-02-05,Edgewood Boro,0.0
1664,2009-02-05,City of McKeesport,45249.28
1665,2009-02-05,Pittsburgh,146590.17
1666,2009-02-05,Pittsburgh,33453.99
1667,2009-02-05,Pittsburgh,55182.24
1668,2009-02-05,Pittsburgh,73741.76
1669,2009-02-05,Swissvale Boro,63470.62
1670,2009-02-06,Pittsburgh,45595.27
1671,2009-02-06,Robinson Township,216457.99
1672,2009-02-06,Bellevue Boro,117204.51
1673,2009-02-06,Pittsburgh,78293.6
1674,2009-02-09,Stowe Township,46608.65
1675,2009-02-09,Ross Township,82206.72
1676,2009-02-09,Monroeville Boro,42731.74
1677,2009-02-09,Monroeville Boro,42731.74
1678,2009-02-09,City of McKeesport,33403.36
1679,2009-02-09,Richland Township,155642.37
1680,2009-02-09,Penn Hills Township,86262.66
1681,2009-02-09,City of McKeesport,57162.57
1682,2009-02-09,Plum Boro,83200.04
1683,2009-02-09,Penn Hills Township,80493.39
1684,2009-02-09,Elizabeth Township,101763.3
1685,2009-02-09,N. Fayette Township,197858.05
1686,2009-02-09,N. Fayette Township,142222.46
1687,2009-02-09,N. Fayette Township,142222.46
1688,2009-02-10,Whitehall Boro,202758.32
1689,2009-02-10,Heidelberg Boro,67687.02
1690,2009-02-10,Pittsburgh,48796.03
1691,2009-02-10,Indiana Township,131963.65
1692,2009-02-10,N. Fayette Township,166419.56
1693,2009-02-10,Elizabeth Township,161924.65
1694,2009-02-10,Brentwood Boro,23749.81
1695,2009-02-10,Brackenridge Boro,27961.4
1696,2009-02-10,Pittsburgh,57592.82
1697,2009-02-10,McCandless Township,86048.28
1698,2009-02-10,Scott Township,107039.44
1699,2009-02-10,Castle Shannon Boro,146526.42
1700,2009-02-10,Penn Hills Township,160602.24
1701,2009-02-10,Penn Hills Township,101082.58
1702,2009-02-10,Pittsburgh,51245.92
1703,2009-02-10,Pittsburgh,55172.24
1704,2009-02-11,Penn Hills Township,61273.26
1705,2009-02-11,Moon Township,235930.81
1706,2009-02-11,Pittsburgh,94233.53
1707,2009-02-11,Swissvale Boro,71069.41
1708,2009-02-11,Pittsburgh,29529.9
1709,2009-02-11,Whitehall Boro,137007.11
1710,2009-02-11,Etna Boro,67908.68
1711,2009-02-11,Pittsburgh,28400.18
1712,2009-02-11,Dravosburg Boro,44595.96
1713,2009-02-11,Millvale Boro,0.0
1714,2009-02-11,Penn Hills Township,118581.46
1715,2009-02-11,Penn Hills Township,118581.46
1716,2009-02-11,Carnegie Boro,54786.62
1717,2009-02-12,Elizabeth Township,104869.68
1718,2009-02-11,Pittsburgh,76440.0
1719,2009-02-12,Versailles Boro,54990.95
1720,2009-02-12,Munhall Boro,148110.4
1721,2009-02-12,Penn Hills Township,83895.36
1722,2009-02-12,Mt. Lebanon Township,154229.48
1723,2009-02-12,Mt. Lebanon Township,56038.16
1724,2009-02-12,Pittsburgh,61366.18
1725,2009-02-12,Pittsburgh,75028.25
1726,2009-02-12,Greentree Boro,59426.35
1727,2009-02-12,Wilkins Township,38464.07
1728,2009-02-12,West Mifflin Boro,102959.07
1729,2009-02-12,Findlay Township,107252.34
1730,2009-02-12,Bethel Park Boro,118794.93
1731,2009-02-12,Plum Boro,123165.35
1732,2009-02-12,Plum Boro,101151.04
1733,2009-02-12,West Mifflin Boro,97711.4
1734,2009-02-13,Pittsburgh,40216.08
1735,2009-02-13,Franklin Park Boro,192090.83
1736,2009-02-13,Pittsburgh,22252.38
1737,2009-02-13,Plum Boro,77410.96
1738,2009-02-13,Glassport Boro,36852.34
1739,2009-02-13,Pittsburgh,69396.68
1740,2009-02-13,West Deer Township,294071.5
1741,2009-02-17,Pittsburgh,75014.48
1742,2009-02-13,Pittsburgh,53677.22
1743,2009-02-13,Wilkins Township,50464.44
1744,2009-02-16,McKees Rocks Boro,89513.69
1745,2009-02-16,Moon Township,128959.12
1746,2009-02-16,Pittsburgh,52294.59
1747,2009-02-16,Wilkins Township,35785.08
1748,2009-02-16,South Park Township,133171.09
1749,2009-02-16,Penn Hills Township,84626.75
1750,2009-02-16,Castle Shannon Boro,70902.63
1751,2009-02-16,Brentwood Boro,105973.34
1752,2009-02-17,Pittsburgh,76036.18
1753,2009-02-16,Pittsburgh,95475.97
1754,2009-02-17,Bellevue Boro,75980.29
1755,2009-02-17,South Park Township,24832.44
1756,2009-02-18,Findlay Township,74682.38
1757,2009-02-17,Monroeville Boro,134370.13
1758,2009-02-17,Monroeville Boro,75474.85
1759,2009-02-17,Pittsburgh,39220.05
1760,2009-02-17,Pittsburgh,117040.2
1761,2009-02-17,Penn Hills Township,111701.46
1762,2009-02-17,Pittsburgh,298674.43
1763,2009-02-17,Plum Boro,71386.09
1764,2009-02-17,Elizabeth Township,97319.76
1765,2009-02-17,Penn Hills Township,119021.1
1766,2009-02-17,McCandless Township,159318.97
1767,2009-02-17,Pittsburgh,43720.31
1768,2009-02-17,Whitehall Boro,34111.71
1769,2009-02-18,McCandless Township,174319.17
1770,2009-02-18,Monroeville Boro,69474.49
1771,2009-02-18,Pittsburgh,20117.99
1772,2009-02-17,Pittsburgh,71135.7
1773,2009-02-18,Versailles Boro,30410.3
1774,2009-02-18,Penn Hills Township,0.0
1775,2009-02-18,Pittsburgh,33220.14
1776,2009-02-19,West Mifflin Boro,67770.06
1777,2009-02-19,West Mifflin Boro,363007.98
1778,2009-02-19,Ross Township,107372.51
1779,2009-02-18,Hampton Township,150256.31
1780,2009-02-19,City of McKeesport,36411.66
1781,2009-02-18,Pitcairn Boro,62741.94
1782,2009-02-18,Baldwin Boro,101153.0
1783,2009-02-19,Pittsburgh,0.0
1784,2009-02-19,Pittsburgh,23477.37
1785,2009-02-19,Pittsburgh,233252.11
1786,2009-02-19,Brentwood Boro,101731.97
1787,2009-02-19,West Deer Township,232204.25
1788,2009-02-20,Penn Hills Township,79798.72
1789,2009-02-20,City of McKeesport,47015.03
1790,2009-02-20,Mt. Lebanon Township,122141.64
1791,2009-02-20,Pittsburgh,30871.39
1792,2009-02-20,Baldwin Boro,34434.82
1793,2009-02-20,Pleasant Hills Boro,0.0
1794,2009-02-20,Upper St. Clair Twp.,171794.66
1795,2009-02-20,Baldwin Boro,119419.12
1796,2009-02-20,Braddock Hills Boro,50787.14
1797,2009-02-20,Sewickley Boro,134384.94
1798,2009-02-20,Bethel Park Boro,82276.36
1799,2009-02-20,Port Vue Boro,58638.22
1800,2009-02-20,Pittsburgh,68701.01
1801,2009-02-20,Pittsburgh,235299.54
1802,2009-02-20,Etna Boro,95584.42
1803,2009-02-20,Avalon Boro,29787.15
1804,2009-02-23,Pittsburgh,21809.94
1805,2009-02-23,Bellevue Boro,98325.36
1806,2009-02-23,Brentwood Boro,97029.1
1807,2009-02-23,Wilkinsburg Boro,100097.12
1808,2009-02-23,Penn Hills Township,94071.18
1809,2009-02-23,City of Duquesne,66177.33
1810,2009-02-23,Pittsburgh,66319.23
1811,2009-02-23,Pittsburgh,90401.75
1812,2009-02-23,West Deer Township,181910.87
1813,2009-02-23,Pitcairn Boro,73631.54
1814,2009-02-23,Pittsburgh,62927.59
1815,2009-02-23,Leet Township,144080.53
1816,2009-02-23,Pittsburgh,43325.44
1817,2009-02-23,Franklin Park Boro,318826.43
1818,2009-02-23,Kennedy Township,76707.08
1819,2009-02-23,West Mifflin Boro,68495.02
1820,2009-02-23,McKees Rocks Boro,37927.26
1821,2009-02-23,Pittsburgh,116233.19
1822,2009-02-24,Pittsburgh,45481.9
1823,2009-02-24,Penn Hills Township,64794.05
1824,2009-02-24,West Mifflin Boro,66233.18
1825,2009-02-25,City of McKeesport,62064.16
1826,2009-02-25,Pittsburgh,43725.13
1827,2009-02-25,Blawnox Boro,75992.41
1828,2009-02-25,Pittsburgh,32611.45
1829,2009-02-25,Penn Hills Township,44132.07
1830,2009-02-25,Plum Boro,99562.65
1831,2009-02-25,Pittsburgh,45218.21
1832,2009-02-25,S. Fayette Township,90773.14
1833,2009-02-25,Pittsburgh,94503.21
1834,2009-02-26,Tarentum Boro,56288.26
1835,2009-02-25,Kennedy Township,122657.95
1836,2009-02-25,Pittsburgh,27432.09
1837,2009-02-26,Pittsburgh,159417.26
1838,2009-02-25,Wilkins Township,108916.75
1839,2009-02-25,Pittsburgh,47777.64
1840,2009-02-25,Scott Township,131676.54
1841,2009-02-25,Swissvale Boro,101663.35
1842,2009-02-25,Swissvale Boro,101663.35
1843,2009-02-26,Baldwin Boro,102269.91
1844,2009-02-26,Munhall Boro,15988.62
1845,2009-02-26,Cheswick Boro,96493.63
1846,2009-02-26,Hampton Township,96691.59
1847,2009-02-26,McKees Rocks Boro,31322.49
1848,2009-02-26,Penn Hills Township,69622.91
1849,2009-02-26,Pittsburgh,101655.04
1850,2009-02-26,O'Hara Township,146816.07
1851,2009-02-26,Wilkins Township,141455.09
1852,2009-02-27,Bethel Park Boro,9222.38
1853,2009-02-27,Bethel Park Boro,29028.59
1854,2009-02-27,McKees Rocks Boro,39791.0
1855,2009-02-27,Pittsburgh,51745.0
1856,2009-02-27,Penn Hills Township,0.0
1857,2009-02-27,Penn Hills Township,49376.07
1858,2009-02-27,Ben Avon Hts. Boro,164349.8
1859,2009-02-27,McCandless Township,98073.73
1860,2009-02-27,Ross Township,79919.51
1861,2009-02-27,Ingram Boro,63764.75
1862,2009-02-27,Pittsburgh,93699.91
1863,2009-02-27,Baldwin Boro,47236.34
1864,2009-02-27,Pittsburgh,55165.59
1865,2009-03-02,Fawn Township,0.0
1866,2009-03-02,Monroeville Boro,126533.96
1867,2009-03-02,City of McKeesport,47050.76
1868,2009-03-02,Pittsburgh,25281.56
1869,2009-03-02,Pittsburgh,75509.51
1870,2009-03-02,Plum Boro,177890.0
1871,2009-03-02,City of McKeesport,34975.93
1872,2009-03-02,Coraopolis Boro,66762.69
1873,2009-03-02,Wilkinsburg Boro,49069.98
1874,2009-03-02,Robinson Township,311407.36
1875,2009-03-02,Pittsburgh,28010.56
1876,2009-03-02,Pittsburgh,70365.3
1877,2009-03-03,City of Clairton,76058.77
1878,2009-03-03,Dormont Boro,152523.98
1879,2009-03-03,Scott Township,131173.69
1880,2009-03-03,Pittsburgh,116309.15
1881,2009-03-03,Pittsburgh,66983.73
1882,2009-03-03,Pittsburgh,83649.79
1883,2009-03-03,N. Versailles Twp.,104089.15
1884,2009-03-03,Upper St. Clair Twp.,109567.3
1885,2009-03-03,Penn Hills Township,118862.87
1886,2009-03-03,West Mifflin Boro,54195.52
1887,2009-03-03,Castle Shannon Boro,52887.34
1888,2009-03-03,Glassport Boro,68635.49
1889,2009-03-03,Penn Hills Township,35914.91
1890,2009-03-03,East Pittsburgh Boro,56150.11
1891,2009-03-03,West Mifflin Boro,49111.77
1892,2009-03-03,Dravosburg Boro,73066.6
1893,2009-03-03,Plum Boro,80838.52
1894,2009-03-03,Turtle Creek Boro,75333.0
1895,2009-03-03,Monroeville Boro,217560.41
1896,2009-03-04,Pittsburgh,71846.71
1897,2009-03-04,Pittsburgh,78338.87
1898,2009-03-04,Penn Hills Township,81262.92
