APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Latitude,Longitude
6057019037,11/16/2018,Single Family,9610 S VAN NESS AVE,LOS ANGELES,CA,90047.0,8,"The REO Group, Inc.",Coby Halavais,949-305-8901,,,,,"9610 S VAN NESS AVE
LOS ANGELES, CA 90047
(33.948654, -118.317721)",33.948654,-118.317721
6023011012,10/18/2018,Single Family,842 E 74TH ST,LOS ANGELES,CA,90001.0,9,Bayview Loan Servicing/Bayview Representative,Frances Guerra,954-590-7161,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"842 E 74TH ST
LOS ANGELES, CA 90001
(33.972993, -118.259308)",33.972993,-118.259308
5113032013,01/12/2018,Multi-Family,4172 1/2 S WOODLAWN AVE,LOS ANGELES,CA,90011.0,9,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"4172 1/2 S WOODLAWN AVE
LOS ANGELES, CA 90011
(34.007468, -118.272815)",34.007468,-118.272815
2289024021,11/12/2018,Single Family,16814 W OAK VIEW DR,LOS ANGELES,CA,91436.0,5,Secured Income Fund-II LLC,James Gomes,408-370-4030,REA Properties,Jeff Russell,14040   Panay WAY 503 Marina del Rey CA 90292,408-370-4030,"16814 W OAK VIEW DR
LOS ANGELES, CA 91436
(34.155351, -118.499936)",34.155351,-118.499936
2785008028,01/01/2018,Single Family,18634 W NAPA ST,LOS ANGELES,CA,91324.0,12,Deutsche Bank National Trust C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"18634 W NAPA ST
LOS ANGELES, CA 91324
(34.226427, -118.539292)",34.226427,-118.539292
4251021019,10/26/2018,Single Family,3240 S MILITARY AVE,LOS ANGELES,CA,90034.0,5,Bank of America,Joan Duffy,818-285-5230,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"3240 S MILITARY AVE
LOS ANGELES, CA 90034
(34.024975, -118.422517)",34.024975,-118.422517
2074019020,09/19/2018,Single Family,22922 W AVENUE SAN LUIS,LOS ANGELES,CA,91364.0,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Law Offices of Michelle Ghidotti c/o Bron Inc,Bron Inc,1920   Old Tustin AVE  Santa Ana CA 92705,877-338-3791,"22922 W AVENUE SAN LUIS
LOS ANGELES, CA 91364
(34.163206, -118.626148)",34.163206,-118.626148
5006001017,06/20/2018,Multi-Family,5340 1/2 S BRYNHURST AVE,LOS ANGELES,CA,90043.0,8,"Deutsche Bank, c/o Select Portfolio Servicing",Select Servicing,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"5340 1/2 S BRYNHURST AVE
LOS ANGELES, CA 90043
(33.993756, -118.333325)",33.993756,-118.333325
2257011020,12/21/2018,Single Family,5450 N ENCINO AVE,LOS ANGELES,CA,91316.0,5,US Bank NA as Trustee for LSF9 Master Participation Trust,Tannis Stoops,404-655-9334,WRI Property Management,Tannis Stoops,14726   Ramona AVE W8 Chino CA 91710,404-655-9334,"5450 N ENCINO AVE
LOS ANGELES, CA 91316
(34.170322, -118.514182)",34.170322,-118.514182
2701039014,05/22/2018,Single Family,20115 W VIA CELLINI,LOS ANGELES,CA,91326.0,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"20115 W VIA CELLINI
LOS ANGELES, CA 91326
(34.294132, -118.571154)",34.294132,-118.571154
2153023021,01/25/2018,Single Family,6200 N CORBIN AVE,LOS ANGELES,CA,91356.0,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,"6200 N CORBIN AVE
LOS ANGELES, CA 91356
(34.182695, -118.562244)",34.182695,-118.562244
4305013031,01/12/2018,Single Family,1445 S LIVONIA AVE,LOS ANGELES,CA,90035.0,5,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,,,,,"1445 S LIVONIA AVE
LOS ANGELES, CA 90035
(34.053947, -118.386395)",34.053947,-118.386395
2316001032,01/15/2018,Single Family,11601 W KESWICK ST,LOS ANGELES,CA,91605.0,6,SELENE FINANCE LP,CUSTOMER SERVICE,877-735-3637,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"11601 W KESWICK ST
LOS ANGELES, CA 91605
(34.210281, -118.384475)",34.210281,-118.384475
4114015010,01/30/2018,Single Family,7437 W 82ND ST,LOS ANGELES,CA,90045.0,11,Selene Finance LP - Eric Moore,Eric Moore,877-338-3791,M&M Mortgage Co,Deborah Prado,12901  SW 132 AVE  Miami FL 33186,800-336-4890,"7437 W 82ND ST
LOS ANGELES, CA 90045
(33.962193, -118.427849)",33.962193,-118.427849
5105015006,01/01/2018,Multi-Family,5517 S MORGAN AVE,LOS ANGELES,CA,90011.0,9,U.S. Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"5517 S MORGAN AVE
LOS ANGELES, CA 90011
(33.992399, -118.244541)",33.992399,-118.244541
2171005016,11/28/2018,Single Family,21539 W ARCOS DR,LOS ANGELES,CA,91364.0,3,Mei L Yang,Josh Chen Yang,562-865-1122,,,,,"21539 W ARCOS DR
LOS ANGELES, CA 91364
(34.154936, -118.598892)",34.154936,-118.598892
5475022013,01/05/2018,Single Family,4637 E CLELAND AVE,LOS ANGELES,CA,90065.0,1,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"4637 E CLELAND AVE
LOS ANGELES, CA 90065
(34.110862, -118.216544)",34.110862,-118.216544
2023007017,01/01/2018,Single Family,22021 W CANTLAY ST,LOS ANGELES,CA,91303.0,3,"US BANK NA, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"22021 W CANTLAY ST
LOS ANGELES, CA 91303
(34.201955, -118.606779)",34.201955,-118.606779
7422019028,01/01/2018,Single Family,406 E M ST,LOS ANGELES,CA,90744.0,15,"Wells Fargo Bank, NA, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"406 E M ST
LOS ANGELES, CA 90744
(33.789102, -118.258057)",33.789102,-118.258057
6084012010,08/22/2018,Non-Residential,00722  E 116TH ST,LOS ANGELES,CA,90059.0,15,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"00722 E 116TH ST
LOS ANGELES, CA 90059
(33.929184, -118.261752)",33.929184,-118.261752
2604041003,11/14/2018,Single Family,15505 W LA VALLE ST,LOS ANGELES,CA,91342.0,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618,619-862-0918,"15505 W LA VALLE ST
LOS ANGELES, CA 91342
(34.299426, -118.470989)",34.299426,-118.470989
2206034025,01/10/2018,Single Family,16010 W WYANDOTTE ST,VAN NUYS,CA,91406.0,6,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"16010 W WYANDOTTE ST
VAN NUYS, CA 91406
(34.203004, -118.481825)",34.203004,-118.481825
6015002008,05/19/2018,Multi-Family,1530 1/2 W 64TH ST,LOS ANGELES,CA,90047.0,8,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"1530 1/2 W 64TH ST
LOS ANGELES, CA 90047
(33.981426, -118.303488)",33.981426,-118.303488
5544003041,10/23/2018,Multi-Family,1840 N GRAMERCY PL,HOLLYWOOD,CA,90028.0,13,Malaga Bank,Nina Brister,310-544-7800,,,,,"1840 N GRAMERCY PL
HOLLYWOOD, CA 90028
(34.104667, -118.312246)",34.104667,-118.312246
5115031024,01/09/2018,Single Family,1230 E 42ND PL,LOS ANGELES,CA,90011.0,9,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1230 E 42ND PL
LOS ANGELES, CA 90011
(34.006654, -118.2533)",34.006654,-118.2533
2012020037,11/02/2018,Single Family,7642 N NITA AVE,,CA,,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,"7642 N NITA AVE, CA
(34.209477, -118.613686)",34.209477,-118.613686
2013027011,01/04/2018,Single Family,7856 N MAYNARD AVE,LOS ANGELES,CA,91304.0,12,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"7856 N MAYNARD AVE
LOS ANGELES, CA 91304
(34.213605, -118.622369)",34.213605,-118.622369
2536003023,12/07/2018,Single Family,12872 W VAN NUYS BLVD,LOS ANGELES,CA,91331.0,7,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"12872 W VAN NUYS BLVD
LOS ANGELES, CA 91331
(34.272188, -118.41374)",34.272188,-118.41374
2671005003,01/02/2018,Single Family,9740 N DANUBE AVE,LOS ANGELES,CA,91343.0,12,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"9740 N DANUBE AVE
LOS ANGELES, CA 91343
(34.247717, -118.475098)",34.247717,-118.475098
7423027079,12/05/2018,Single Family,1156 N HYATT AVE,LOS ANGELES,CA,90744.0,15,M&T Bank,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,"1156 N HYATT AVE
LOS ANGELES, CA 90744
(33.786713, -118.254246)",33.786713,-118.254246
5312024070,12/17/2018,Single Family,655 S AVENUE 61,LOS ANGELES,CA,90042.0,14,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"655 S AVENUE 61
LOS ANGELES, CA 90042
(34.105776, -118.181186)",34.105776,-118.181186
7452026003,12/13/2018,Single Family,322 S WOODLAND DR,SAN PEDRO,CA,90732.0,15,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"322 S WOODLAND DR
SAN PEDRO, CA 90732
(33.741071, -118.303418)",33.741071,-118.303418
6040015009,10/25/2018,Multi-Family,232 W 86TH PL,LOS ANGELES,CA,90003.0,8,Freedom Mortgage,VPR DEPT,317-537-3748,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"232 W 86TH PL
LOS ANGELES, CA 90003
(33.95933, -118.276836)",33.95933,-118.276836
2217011057,11/19/2018,Multi-Family,14235 W VANOWEN ST,VAN NUYS,CA,91405.0,6,Bank of the West,Jessica Simon,818-907-3128,LA'S PREMIER PROPERTY MAINTENANCE LLC,EDDIE ZUBIA,350  S Figueroa ST 280 Los Angeles CA 90071,213-221-1244,"14235 W VANOWEN ST
VAN NUYS, CA 91405
(34.193929, -118.443275)",34.193929,-118.443275
2527002019,11/14/2018,Single Family,11853 N CHADRON AVE,LOS ANGELES,CA,91331.0,7,U.S. Bank N.A. C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"11853 N CHADRON AVE
LOS ANGELES, CA 91331
(34.285357, -118.416)",34.285357,-118.416
2647013025,07/30/2018,Single Family,14650 W LASSEN ST,LOS ANGELES,CA,91345.0,6,Ditech Financial LLC,Property Preservation Department,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"14650 W LASSEN ST
LOS ANGELES, CA 91345
(34.250332, -118.450939)",34.250332,-118.450939
7442033109,01/01/2018,Single Family,28006 S WESTERN AVE,LOS ANGELES,CA,90732.0,15,"PNC Bank, N.A. C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"28006 S WESTERN AVE
LOS ANGELES, CA 90732
(33.766428, -118.31056)",33.766428,-118.31056
2726006015,12/05/2018,Single Family,19846 W MAYALL ST,LOS ANGELES,CA,91311.0,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"19846 W MAYALL ST
LOS ANGELES, CA 91311
(34.253625, -118.565886)",34.253625,-118.565886
6048022002,12/05/2018,Single Family,9216 S COMPTON AVE,LOS ANGELES,CA,90002.0,15,"Budget Funding I, LLC",Christi Miller,310-954-1601,Budget Mortgage Corp,Christi Miller,1849   SAWTELLE BLVD 700 LOS ANGELES CA 90025,310-696-4050,"9216 S COMPTON AVE
LOS ANGELES, CA 90002
(33.953116, -118.246008)",33.953116,-118.246008
4003009001,05/24/2018,Single Family,4340 W 60TH ST,LOS ANGELES,CA,90043.0,8,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"4340 W 60TH ST
LOS ANGELES, CA 90043
(33.98529, -118.351542)",33.98529,-118.351542
2513029003,10/31/2018,Single Family,13070 W FOOTHILL BLVD,LOS ANGELES,CA,91342.0,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"13070 W FOOTHILL BLVD
LOS ANGELES, CA 91342
(34.297344, -118.419247)",34.297344,-118.419247
6074023067,11/14/2018,Multi-Family,216 W 112TH ST,LOS ANGELES,CA,90061.0,8,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"216 W 112TH ST
LOS ANGELES, CA 90061
(33.932964, -118.276723)",33.932964,-118.276723
5453022022,11/21/2018,Multi-Family,3305 E THORPE AVE,LOS ANGELES,CA,90065.0,1,"Cardenas Three, LLC",Coby Halavais,949-305-8901,,,,,"3305 E THORPE AVE
LOS ANGELES, CA 90065
(34.092515, -118.22424)",34.092515,-118.22424
2337008010,11/10/2018,Single Family,11307 W BESSEMER ST,LOS ANGELES,CA,91606.0,2,"Real Property Trustee, Inc.",Mike Kemel,877-770-2132,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"11307 W BESSEMER ST
LOS ANGELES, CA 91606
(34.180368, -118.377237)",34.180368,-118.377237
6065002010,01/08/2018,Single Family,1316 E 103RD ST,LOS ANGELES,CA,90002.0,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Elizabeth Acosta,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,929-481-1100,"1316 E 103RD ST
LOS ANGELES, CA 90002
(33.94327, -118.251061)",33.94327,-118.251061
7559035014,01/02/2018,Single Family,409 S WEYMOUTH AVE,SAN PEDRO,CA,90732.0,15,Flagstar Bank,Grace Wesson,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"409 S WEYMOUTH AVE
SAN PEDRO, CA 90732
(33.740535, -118.30966)",33.740535,-118.30966
5015040022,11/12/2018,Single Family,5137 S 2ND AVE,LOS ANGELES,CA,90043.0,8,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,"5137 S 2ND AVE
LOS ANGELES, CA 90043
(33.995676, -118.319262)",33.995676,-118.319262
5556015074,11/28/2018,Vacant Residential,1728 N QUEENS CT,HOLLYWOOD,CA,90069.0,4,"West Coast Capital, LLC",Frances Garey,832-788-0914,Matthew Watson,Mathew Watson,20331   Irvine AVE E2 Newport Beach CA 92660,714-943-0333,"1728 N QUEENS CT
HOLLYWOOD, CA 90069
(34.101182, -118.3778)",34.101182,-118.3778
5682025033,11/30/2018,Single Family,5077 N COLLEGE VIEW AVE,LOS ANGELES,CA,90041.0,14,bayview,Willie Walton,714-848-7920,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"5077 N COLLEGE VIEW AVE
LOS ANGELES, CA 90041
(34.13964, -118.220189)",34.13964,-118.220189
2609017001,01/01/2018,Single Family,16548 W KNOLLWOOD DR,LOS ANGELES,CA,91344.0,12,"U.S. Bank N.A., c/o Select Portfolio Servicing",Edward Zubia,213-383-2097,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"16548 W KNOLLWOOD DR
LOS ANGELES, CA 91344
(34.294409, -118.494815)",34.294409,-118.494815
2535027014,01/31/2018,Single Family,13015 W PIERCE ST,LOS ANGELES,CA,91331.0,7,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"13015 W PIERCE ST
LOS ANGELES, CA 91331
(34.264843, -118.416564)",34.264843,-118.416564
2501009026,01/01/2018,Single Family,13216 N NORRIS AVE,LOS ANGELES,CA,91342.0,7,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"13216 N NORRIS AVE
LOS ANGELES, CA 91342
(34.310903, -118.463544)",34.310903,-118.463544
2601067004,12/19/2018,Single Family,17806 W MOUNTAIN RANCH ROAD,LOS ANGELES,CA,91344.0,12,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"17806 W MOUNTAIN RANCH ROAD
LOS ANGELES, CA 91344
(34.289725, -118.520546)",34.289725,-118.520546
2125020033,01/12/2018,Single Family,18139 W WELBY WAY,LOS ANGELES,CA,91335.0,3,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,"18139 W WELBY WAY
LOS ANGELES, CA 91335
(34.192949, -118.52875)",34.192949,-118.52875
2530038011,11/07/2018,Single Family,11446 W TERRA VISTA WAY,LOS ANGELES,CA,91342.0,7,Kb Holdings,Greg Mkrchyan,818-339-6166,,,,,"11446 W TERRA VISTA WAY
LOS ANGELES, CA 91342
(34.283776, -118.381268)",34.283776,-118.381268
6032031026,12/03/2018,Single Family,426 W 81ST ST,LOS ANGELES,CA,90003.0,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Ryan Sabo,7887   Safeguard CIR Safeg Valley View OH 44125,800-852-8306,"426 W 81ST ST
LOS ANGELES, CA 90003
(33.965949, -118.281472)",33.965949,-118.281472
4012001019,12/18/2018,Single Family,7302 S 9TH AVE,LOS ANGELES,CA,90043.0,8,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"7302 S 9TH AVE
LOS ANGELES, CA 90043
(33.973476, -118.327536)",33.973476,-118.327536
2676009005,01/01/2018,Single Family,16321 W VINCENNES ST,LOS ANGELES,CA,91343.0,12,Wells Fargo Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"16321 W VINCENNES ST
LOS ANGELES, CA 91343
(34.241176, -118.488212)",34.241176,-118.488212
5107020015,12/19/2018,Single Family,1237 E 49TH ST,LOS ANGELES,CA,90011.0,9,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"1237 E 49TH ST
LOS ANGELES, CA 90011
(33.998902, -118.25327)",33.998902,-118.25327
5156025004,11/21/2018,Single Family,420 N LA FAYETTE PARK PL,LOS ANGELES,CA,90026.0,13,Bank of America,Joan Duffy,818-285-5230,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"420 N LA FAYETTE PARK PL
LOS ANGELES, CA 90026
(34.074805, -118.275644)",34.074805,-118.275644
2612027011,01/03/2018,Single Family,14838 W MISSION GLEN LANE,LOS ANGELES,CA,91342.0,7,Ditech Financial LLC,Property Department,800-468-1743,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453,"14838 W MISSION GLEN LANE
LOS ANGELES, CA 91342
(34.283431, -118.455973)",34.283431,-118.455973
2331016006,12/21/2018,Single Family,13017 W ERWIN ST,LOS ANGELES,CA,91401.0,2,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"13017 W ERWIN ST
LOS ANGELES, CA 91401
(34.183048, -118.416747)",34.183048,-118.416747
2278005004,01/16/2018,Single Family,15036 W MARBLE DR,LOS ANGELES,CA,91403.0,4,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"15036 W MARBLE DR
LOS ANGELES, CA 91403
(34.142794, -118.461705)",34.142794,-118.461705
4228002037,10/23/2018,Single Family,677 E MILDRED AVE,LOS ANGELES,CA,90291.0,11,CitiMortgage,Erin Theobald,877-290-3997,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"677 E MILDRED AVE
LOS ANGELES, CA 90291
(33.987338, -118.460361)",33.987338,-118.460361
6073001028,10/04/2018,Single Family,157 E 109TH ST,LOS ANGELES,CA,90061.0,8,M&T Bank,Eric Moore,877-338-3791,MSI,Property Preservation,500   Grapeview HWY  Hurst TX 76054,800-346-2432,"157 E 109TH ST
LOS ANGELES, CA 90061
(33.937405, -118.271856)",33.937405,-118.271856
6003026013,05/24/2018,Single Family,1312 W 61ST ST,LOS ANGELES,CA,90044.0,9,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"1312 W 61ST ST
LOS ANGELES, CA 90044
(33.984154, -118.298551)",33.984154,-118.298551
2666012005,10/12/2018,Single Family,15934 W KALISHER ST,LOS ANGELES,CA,91344.0,12,US Bank NA as Trustee for LSF9 Master Participation Trust,Tannis Stoops,404-655-9334,WRI Property Management,Tannis Stoops,14726   Ramona AVE W8 Chino CA 91710,404-655-9334,"15934 W KALISHER ST
LOS ANGELES, CA 91344
(34.277322, -118.479303)",34.277322,-118.479303
2113008014,10/05/2018,Single Family,20651 W VALERIO ST,LOS ANGELES,CA,91306.0,3,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"20651 W VALERIO ST
LOS ANGELES, CA 91306
(34.204683, -118.583712)",34.204683,-118.583712
2355014112,11/28/2018,Single Family,4733 N RADFORD AVE,LOS ANGELES,CA,91607.0,2,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"4733 N RADFORD AVE
LOS ANGELES, CA 91607
(34.156791, -118.392199)",34.156791,-118.392199
5569036003,11/21/2018,Single Family,1914 N LAUREL CANYON ROAD,,CA,,4,"Society for the Prevention of Cruelty to Animals Los Angeles, aka, SPCALA",Miriam Davenport,323-334-4485,,,,,"1914 N LAUREL CANYON ROAD, CA
(34.132988, -117.653138)",34.132988,-117.653138
2047008002,01/01/2018,Single Family,23848 W KILLION ST,LOS ANGELES,CA,91367.0,3,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"23848 W KILLION ST
LOS ANGELES, CA 91367
(34.168895, -118.646752)",34.168895,-118.646752
2134019006,12/18/2018,Single Family,20243 W MOBILE ST,LOS ANGELES,CA,91306.0,3,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"20243 W MOBILE ST
LOS ANGELES, CA 91306
(34.190012, -118.574086)",34.190012,-118.574086
4360031033,08/08/2018,Single Family,10601 W WILSHIRE BLVD 1-72,,CA,,5,"Nationstar Mortgage, dba Mr. Cooper",Jaime Burgess,888-456-0714,Miles Preservation LLC,Miles Preservation,27226   Via Industria   Temecula CA 92590,951-808-3346,"10601 W WILSHIRE BLVD 1-72, CA
(35.551083, -97.709025)",35.551083,-97.709025
6019002005,10/12/2018,Single Family,1340 W 73RD ST,LOS ANGELES,CA,90044.0,8,Freedom Mortgage,VPR DEPT,317-537-3748,BRON INC,JESSICA HAMLET,41951   Remington AVE  Temecula CA 92590,951-291-3285,"1340 W 73RD ST
LOS ANGELES, CA 90044
(33.973646, -118.299575)",33.973646,-118.299575
2722030004,01/23/2018,Single Family,21608 W LOS ALIMOS ST,LOS ANGELES,CA,91311.0,12,"Fay Servicing, LLC",N/A N/A,800-495-7166,Barrett Daffin Frappier Treder & Weiss LLP,Grace Wesson,20955   Pathfinder RD 300 Diamond CA 91765,877-338-3791,"21608 W LOS ALIMOS ST
LOS ANGELES, CA 91311
(34.265201, -118.600515)",34.265201,-118.600515
2027035009,10/03/2018,Single Family,23768 W POSEY LANE,,CA,,12,Deutsche Bank National Trust c/o Select Portfolio Servicing,SELECT SERVICING,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"23768 W POSEY LANE, CA
(34.208999, -118.646614)",34.208999,-118.646614
2531025038,01/01/2018,Single Family,11886 N VANPORT AVE,LOS ANGELES,CA,91342.0,7,"Deutsche Bank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,813-383-2097,"11886 N VANPORT AVE
LOS ANGELES, CA 91342
(34.286294, -118.399456)",34.286294,-118.399456
